x_from,y_from,x_to,y_to
-73.8581,40.6403,-73.8581,40.6402
-73.8605,40.6402,-73.86,40.6401
-73.86,40.6401,-73.8588,40.6402
-73.8384,40.6414,-73.8387,40.6417
-73.8612,40.6399,-73.8605,40.6402
-73.8109,40.6363,-73.81,40.6357
-73.8587,40.6398,-73.8588,40.6402
-73.8383,40.6411,-73.8384,40.6414
-73.863,40.6391,-73.8625,40.6391
-73.8625,40.6391,-73.8612,40.6399
-73.8097,40.6354,-73.81,40.6357
-73.8097,40.6354,-73.8096,40.6353
-73.8537,40.64,-73.8532,40.641
-73.8539,40.6398,-73.8537,40.64
-73.8096,40.6353,-73.8087,40.6347
-73.8087,40.6347,-73.8076,40.6343
-73.8171,40.6365,-73.8157,40.6382
-73.858,40.6401,-73.8567,40.6394
-73.8642,40.6386,-73.8631,40.6392
-73.863,40.6384,-73.863,40.6391
-73.8567,40.6394,-73.8566,40.6394
-73.8545,40.6392,-73.8539,40.6398
-73.8076,40.6343,-73.8071,40.6341
-73.8071,40.6341,-73.807,40.6341
-73.8172,40.6364,-73.8171,40.6365
-73.807,40.6341,-73.8067,40.6341
-73.8566,40.6394,-73.856,40.6392
-73.856,40.6392,-73.8558,40.6391
-73.8558,40.6391,-73.8552,40.639
-73.8649,40.6382,-73.8642,40.6386
-73.8357,40.6391,-73.8358,40.6392
-73.8651,40.6381,-73.8649,40.6382
-73.8357,40.6391,-73.8352,40.6389
-73.8067,40.6341,-73.8051,40.6339
-73.8352,40.6389,-73.835,40.6387
-73.835,40.6387,-73.835,40.6387
-73.8657,40.6381,-73.8651,40.6381
-73.8051,40.6339,-73.8049,40.6339
-73.8049,40.6339,-73.8048,40.6338
-73.8351,40.6385,-73.835,40.6387
-73.8661,40.6379,-73.8657,40.6381
-73.8667,40.6377,-73.8661,40.6379
-73.8675,40.6382,-73.8676,40.6384
-73.867,40.6376,-73.8667,40.6377
-73.867,40.6375,-73.867,40.6376
-73.867,40.6375,-73.8675,40.6382
-73.8349,40.6382,-73.8351,40.6385
-73.8048,40.6338,-73.803,40.6333
-73.803,40.6333,-73.803,40.6333
-73.8177,40.6354,-73.8172,40.6364
-73.8027,40.6335,-73.8024,40.6335
-73.8651,40.6374,-73.8651,40.6381
-73.8676,40.637,-73.867,40.6375
-73.8679,40.6368,-73.8676,40.637
-73.8683,40.6368,-73.8679,40.6368
-73.8024,40.6335,-73.801,40.6338
-73.8687,40.6363,-73.8683,40.6368
-73.8692,40.636,-73.8687,40.6363
-73.801,40.6338,-73.7995,40.634
-73.8695,40.6358,-73.8692,40.636
-73.7995,40.634,-73.7994,40.634
-73.8698,40.6355,-73.8695,40.6358
-73.8699,40.6354,-73.8698,40.6355
-73.7994,40.634,-73.7986,40.634
-73.7476,40.6362,-73.7475,40.6361
-73.7475,40.6361,-73.7474,40.6361
-73.8704,40.635,-73.8699,40.6354
-73.8708,40.6346,-73.8704,40.635
-73.7464,40.6352,-73.7463,40.6353
-73.7986,40.634,-73.7975,40.6335
-73.7466,40.6348,-73.7464,40.6352
-73.7466,40.6348,-73.7466,40.6348
-73.7467,40.6345,-73.7466,40.6348
-73.8711,40.634,-73.8708,40.6346
-73.7475,40.6346,-73.7477,40.6351
-73.747,40.6342,-73.7467,40.6345
-73.7471,40.6341,-73.747,40.6342
-73.7473,40.634,-73.7471,40.6341
-73.7975,40.6335,-73.7971,40.6332
-73.7474,40.6338,-73.7473,40.634
-73.8718,40.6332,-73.8711,40.634
-73.7478,40.6333,-73.7474,40.6338
-73.7478,40.6332,-73.7478,40.6333
-73.8719,40.6329,-73.8718,40.6332
-73.7479,40.633,-73.7478,40.6332
-73.748,40.6328,-73.7479,40.633
-73.7482,40.6327,-73.748,40.6328
-73.7969,40.6328,-73.7971,40.6332
-73.7965,40.6334,-73.7957,40.6336
-73.7955,40.634,-73.7952,40.6345
-73.7488,40.6326,-73.7482,40.6327
-73.7936,40.6336,-73.7936,40.6337
-73.8723,40.6323,-73.8719,40.6329
-73.8724,40.6322,-73.8723,40.6323
-73.7491,40.6325,-73.7488,40.6326
-73.7491,40.6325,-73.7491,40.6325
-73.7936,40.6332,-73.7936,40.6336
-73.7957,40.6336,-73.7953,40.6336
-73.8724,40.6321,-73.8724,40.6322
-73.7936,40.6331,-73.7936,40.6332
-73.7953,40.6336,-73.7949,40.6336
-73.7494,40.6323,-73.7491,40.6325
-73.7944,40.6335,-73.7936,40.6332
-73.7949,40.6336,-73.7944,40.6335
-73.7934,40.6328,-73.7936,40.6331
-73.7968,40.6325,-73.7969,40.6328
-73.7497,40.6322,-73.7494,40.6323
-73.75,40.6322,-73.7497,40.6322
-73.7928,40.6318,-73.7934,40.6328
-73.8731,40.6319,-73.8724,40.6321
-73.7505,40.6319,-73.75,40.6322
-73.7505,40.6318,-73.7505,40.6319
-73.7924,40.6308,-73.7928,40.6318
-73.8101,40.6312,-73.81,40.6316
-73.8738,40.6318,-73.8731,40.6319
-73.8738,40.6318,-73.8738,40.6318
-73.7965,40.632,-73.7968,40.6325
-73.751,40.6315,-73.7505,40.6318
-73.7924,40.6294,-73.7924,40.6308
-73.7513,40.6314,-73.751,40.6315
-73.8742,40.6316,-73.8738,40.6318
-73.7926,40.6293,-73.7924,40.6294
-73.8009,40.6307,-73.803,40.6333
-73.7924,40.6294,-73.7921,40.6293
-73.7518,40.6311,-73.7513,40.6314
-73.752,40.6311,-73.7518,40.6311
-73.7525,40.631,-73.752,40.6311
-73.7466,40.6324,-73.7462,40.6324
-73.7462,40.6324,-73.746,40.6323
-73.8707,40.6327,-73.8703,40.6324
-73.7531,40.6307,-73.7525,40.631
-73.7534,40.6306,-73.7531,40.6307
-73.746,40.6323,-73.7458,40.6322
-73.875,40.6312,-73.8742,40.6316
-73.8009,40.6307,-73.8006,40.6304
-73.7458,40.6322,-73.7458,40.6322
-73.7921,40.6293,-73.7909,40.629
-73.794,40.6293,-73.7926,40.6293
-73.8765,40.6309,-73.8761,40.6309
-73.8761,40.6309,-73.875,40.6312
-73.7952,40.6295,-73.7965,40.632
-73.7538,40.6304,-73.7534,40.6306
-73.8723,40.6312,-73.8722,40.6315
-73.7952,40.6294,-73.7952,40.6295
-73.7952,40.6294,-73.794,40.6293
-73.754,40.6303,-73.7538,40.6304
-73.7909,40.629,-73.7906,40.6288
-73.7906,40.6288,-73.7903,40.6287
-73.7458,40.6322,-73.7455,40.6319
-73.7546,40.63,-73.754,40.6303
-73.7903,40.6287,-73.7902,40.6287
-73.7547,40.63,-73.7546,40.63
-73.7454,40.6318,-73.7455,40.6319
-73.7549,40.6299,-73.7547,40.63
-73.7453,40.6318,-73.7454,40.6318
-73.7902,40.6287,-73.7897,40.6287
-73.7449,40.6316,-73.7449,40.6316
-73.7897,40.6287,-73.7897,40.6287
-73.7453,40.6318,-73.7449,40.6316
-73.7958,40.6292,-73.7952,40.6294
-73.7555,40.6296,-73.7549,40.6299
-73.7555,40.6296,-73.7555,40.6296
-73.7559,40.6296,-73.7555,40.6296
-73.7897,40.6287,-73.7893,40.6287
-73.8768,40.6302,-73.8765,40.6309
-73.7879,40.6317,-73.7876,40.6317
-73.8006,40.6304,-73.7996,40.63
-73.7996,40.63,-73.7996,40.63
-73.8722,40.6318,-73.8704,40.6309
-73.7563,40.6294,-73.7559,40.6296
-73.8771,40.6299,-73.8768,40.6302
-73.7893,40.6287,-73.7885,40.6288
-73.7576,40.629,-73.7563,40.6294
-73.7885,40.6288,-73.7881,40.6289
-73.7867,40.6309,-73.7867,40.6309
-73.7868,40.6307,-73.7867,40.6309
-73.7881,40.6289,-73.788,40.6289
-73.7577,40.6289,-73.7576,40.629
-73.788,40.6289,-73.7874,40.6292
-73.7872,40.6298,-73.7868,40.6307
-73.7973,40.6293,-73.7961,40.6292
-73.7579,40.6287,-73.7577,40.6289
-73.7996,40.63,-73.7988,40.6296
-73.7978,40.6293,-73.7973,40.6293
-73.7981,40.6293,-73.7978,40.6293
-73.7988,40.6296,-73.7981,40.6293
